cod_municipio,assasinatos_gerais,pop_2021,assasinatos_gerais_100k
1300060,1,11736,8.520790729379687
1300086,1,13956,7.165376898824878
1300102,2,21477,9.31228756343996
1300144,12,22359,53.66966322286328
1300300,17,40290,42.19409282700422
1300409,4,27638,14.47282726680657
1300508,7,32483,21.54973370686205
1300607,10,43935,22.760896779333105
1300631,5,20093,24.88428806051859
1300680,8,19626,40.76225415265464
1300706,22,34635,63.5195611375776
1300805,13,41748,31.139216249880235
1300839,2,13283,15.056839569374388
1300904,4,15807,25.305244511925096
1301001,6,28508,21.046723726673214
1301100,12,38348,31.292375091269427
1301159,10,30846,32.41911430979706
1301209,97,85910,112.90885810732162
1301308,3,29168,10.285244103126715
1301407,22,35700,61.62464985994398
1301506,11,20393,53.94007747756583
1301605,10,17005,58.80623346074684
1301654,1,16937,5.904233335301411
1301704,24,56144,42.74722143060701
1301803,2,30436,6.571165724799579
1301852,15,49011,30.605374303727736
1301902,35,102701,34.07951237086299
1301951,3,7814,38.39262861530586
1302009,1,9230,10.834236186348862
1302207,3,15106,19.85965841387528
1302306,7,13886,50.41048538095924
1302405,25,46882,53.32537007806834
1302504,33,98502,33.501857830297865
1302553,2,33049,6.051620321341039
1302603,1217,2219580,54.83019309959542
1302702,12,56583,21.20778325645512
1302801,2,18261,10.952302721647227
1302900,34,65040,52.275522755227556
1303106,23,38026,60.4849313627518
1303205,5,19928,25.09032517061421
1303304,6,26046,23.036166781847502
1303403,25,115363,21.67072631606321
1303502,11,19522,56.34668579039033
1303536,26,37193,69.90562740300594
1303569,17,34106,49.844602122793646
1303601,4,25865,15.464913976416007
1303809,18,46303,38.87437099108049
1303908,1,40073,2.4954458113942057
1304062,109,67182,162.2458396594326
1304104,5,17015,29.38583602703497
1304203,28,59547,47.02168035333434
1304237,1,18897,5.291845266444409
1304260,2,13690,14.609203798392988
1304302,2,16130,12.399256044637323
1304401,1,23585,4.239983040067839
1400027,10,13185,75.84376185058778
1400050,54,15380,351.1053315994798
1400100,195,419652,46.467072717394416
1400159,7,12557,55.745799155849326
1400175,22,18799,117.02750146284377
1400209,33,22283,148.0949602836243
1400233,2,10383,19.262255610131948
1400282,4,12296,32.53090435914118
1400308,17,18172,93.55051727933083
1400407,2,11532,17.34304543877905
1400456,9,18913,47.58631629038228
1400472,8,30782,25.989214475992462
1400506,2,8348,23.957834211787254
1400605,2,8110,24.66091245376079
1400704,1,10789,9.268699601445917
1500107,43,159080,27.03042494342469
1500131,5,7486,66.7913438418381
1500206,36,55669,64.66794805008173
1500305,8,39567,20.21886925973665
1500347,7,27615,25.34854245880862
1500404,6,57092,10.509353324458768
1500503,19,34076,55.75771804202371
1500602,118,115969,101.75133009683623
1500701,4,29688,13.473457289140393
1500800,333,535547,62.1794165591442
1500859,23,28607,80.39990212185829
1500909,6,46471,12.911278001334166
1500958,20,31773,62.946526925376894
1501006,1,16404,6.0960741282613995
1501105,7,31325,22.3463687150838
1501204,12,48459,24.763201882003344
1501253,5,3262,153.28019619865114
1501303,89,127027,70.06384469443505
1501402,525,1499641,35.008378671962156
1501451,5,17839,28.028476932563485
1501501,17,63768,26.659139380253418
1501576,6,17118,35.050823694356815
1501600,7,16530,42.34724742891712
1501709,51,128914,39.561257892858805
1501725,11,14983,73.41653874390977
1501758,2,7368,27.14440825190011
1501782,23,67332,34.15909225925266
1501808,36,103497,34.78361691643236
1501907,32,29427,108.74367077853672
1501956,7,34609,20.22595278684735
1502004,3,24064,12.466755319148936
1502103,41,139364,29.419362245630147
1502152,29,38103,76.10949269086424
1502202,44,69431,63.372268871253475
1502301,44,54425,80.84519981626092
1502400,98,203251,48.21624493852429
1502608,10,12131,82.4334350012365
1502707,9,47991,18.753516284303306
1502756,23,33781,68.08561025428496
1502764,12,13761,87.20296490080663
1502772,21,17846,117.67342821920879
1502806,2,34994,5.715265474081271
1502905,26,40584,64.06465602207767
1502939,30,60469,49.612197985744764
1502954,28,33940,82.49852681202121
1503044,38,20525,185.1400730816078
1503077,4,26111,15.319214124315423
1503093,16,41081,38.947445291010446
1503101,3,33755,8.887572211524219
1503200,13,39023,33.313686800092256
1503309,27,63036,42.832667047401486
1503408,3,11861,25.292976983390947
1503457,34,65625,51.80952380952381
1503507,10,32595,30.679552078539654
1503606,97,101395,95.66546673899107
1503705,13,53355,24.365101677443537
1503754,27,7590,355.7312252964427
1503804,22,59842,36.763477156512145
1503903,5,58960,8.480325644504749
