cod_municipio,lixo_total,familias_cadastradas,lixo_porcentagem
430820,4925,5009.0,0.9832301856658016
353370,2211,2249.0,0.9831036016007114
430110,8166,8307.0,0.9830263633080535
421300,1212,1233.0,0.9829683698296837
310375,3228,3284.0,0.9829476248477467
316553,18084,18399.0,0.982879504320887
352130,7345,7473.0,0.982871671350194
330452,88857,90408.0,0.9828444385452615
351685,1770,1801.0,0.9827873403664631
430165,1199,1220.0,0.9827868852459016
352580,2911,2962.0,0.9827819041188386
350370,2731,2779.0,0.9827275998560633
355550,2493,2537.0,0.9826566811194324
351907,90617,92223.0,0.9825856890363576
520140,191982,195405.0,0.9824825362708222
352730,16487,16781.0,0.9824801859245575
520547,5123,5215.0,0.9823585810162991
354690,1996,2032.0,0.9822834645669292
355010,15594,15876.0,0.9822373393801965
355240,96363,98110.0,0.9821934563245337
280570,26137,26612.0,0.9821509093641966
431180,8792,8952.0,0.9821268990169795
351160,5323,5420.0,0.9821033210332103
312980,96859,98637.0,0.9819743098431623
352100,14696,14969.0,0.981762308771461
351870,109067,111094.0,0.9817541901452824
411915,61304,62449.0,0.981665038671556
420515,480,489.0,0.9815950920245399
412710,20157,20535.0,0.9815924032140249
352500,43440,44256.0,0.9815618221258134
350360,4573,4659.0,0.9815411032410388
330225,18144,18487.0,0.9814464218099205
240420,18503,18853.0,0.9814353153344295
431950,8325,8483.0,0.981374513733349
420890,29414,29973.0,0.9813498815600707
354515,1670,1702.0,0.981198589894242
431244,1406,1433.0,0.9811584089323099
420160,777,792.0,0.9810606060606061
354085,1552,1582.0,0.9810366624525917
315480,5576,5684.0,0.9809992962702322
351980,4078,4157.0,0.9809959105123888
421040,2579,2629.0,0.9809813617344998
330290,20243,20636.0,0.9809556115526264
420140,17611,17955.0,0.9808409913673072
280150,14366,14647.0,0.9808151839967229
351610,2499,2548.0,0.9807692307692307
421250,9931,10127.0,0.9806457983608177
350930,5467,5575.0,0.9806278026905829
170550,24293,24774.0,0.9805844837329458
350570,122736,125172.0,0.9805387786405906
431330,6983,7122.0,0.9804830103903398
422000,7562,7713.0,0.980422663036432
431935,300,306.0,0.9803921568627451
412070,4799,4895.0,0.980388151174668
431455,1949,1988.0,0.9803822937625755
421335,1496,1526.0,0.9803407601572739
355040,13832,14111.0,0.9802281907731557
421620,14794,15093.0,0.9801894918173988
330630,131348,134006.0,0.9801650672357954
411950,57873,59045.0,0.980150732492167
354400,6170,6295.0,0.9801429706115965
432160,24653,25154.0,0.9800826906257454
311820,3680,3755.0,0.9800266311584553
352140,5192,5298.0,0.979992449981125
320520,183263,187013.0,0.9799479180591724
330150,10451,10665.0,0.9799343647444914
354450,1805,1842.0,0.9799131378935939
353950,13371,13646.0,0.979847574380771
354110,1750,1786.0,0.9798432250839866
311860,287904,293848.0,0.9797718548365141
330023,28359,28945.0,0.9797547072033166
350700,20227,20650.0,0.9795157384987894
352000,10512,10732.0,0.9795005590756616
350250,13756,14044.0,0.9794930219310738
353440,301588,307920.0,0.9794362171992725
522185,91664,93590.0,0.9794208782989635
431844,618,631.0,0.9793977812995246
311530,34324,35048.0,0.9793426158411321
280030,368599,376387.0,0.9793085308472397
351190,3735,3814.0,0.9792868379653906
261250,113185,115580.0,0.9792784218722962
330270,139926,142903.0,0.9791676871724176
432100,3375,3447.0,0.97911227154047
520870,573388,585625.0,0.9791043756670225
430310,51761,52866.0,0.9790980970756251
430810,2760,2819.0,0.9790705924086556
420620,3174,3242.0,0.9790252930289944
330390,153022,156304.0,0.9790024567509469
312600,5080,5189.0,0.9789940258238582
350060,1209,1235.0,0.9789473684210527
