cod_municipio,doencas_infecciosas,populacao,doencas_infecciosas_100k
1300805,26,41748,62.27843249976047
1300839,6,13283,45.17051870812316
1300904,6,15807,37.957866767887644
1301001,39,28508,136.8037042233759
1301100,5,38348,13.038489621362261
1301159,1,30846,3.2419114309797057
1301209,208,85910,242.1138400651845
1301308,12,29168,41.14097641250686
1301407,33,35700,92.43697478991596
1301506,5,20393,24.518217035257198
1301605,39,17005,229.34431049691267
1301654,5,16937,29.521166676507054
1301704,47,56144,83.71330863493873
1301803,5,30436,16.42791431199895
1301852,25,49011,51.00895717287956
1301902,126,102701,122.68624453510677
1301951,10,7814,127.97542871768621
1302009,10,9230,108.34236186348862
1302108,1,2251,44.4247001332741
1302207,14,15106,92.67840593141798
1302306,42,13886,302.46291228575546
1302405,69,46882,147.1780214154686
1302504,158,98502,160.402834460214
1302553,16,33049,48.41296257072831
1302603,7789,2219580,350.9222465511493
1302702,30,56583,53.019458141137804
1302900,73,65040,112.23862238622387
1303007,15,21443,69.95289838175628
1303106,23,38026,60.4849313627518
1303205,7,19928,35.1264552388599
1303304,13,26046,49.91169469400292
1303403,222,115363,192.4360496866413
1303502,12,19522,61.46911177133491
1303536,24,37193,64.52827144892856
1303569,2,34106,5.8640708379757225
1303601,30,25865,115.98685482312005
1303700,48,21243,225.9567857647225
1303809,122,46303,263.48184782843447
1303908,63,40073,157.21308611783493
1303957,1,14352,6.967670011148272
1304005,8,9230,86.6738894907909
1304062,146,67182,217.32011550712988
1304104,13,17015,76.40317367029091
1304203,203,59547,340.90718256167395
1304237,28,18897,148.17166746044344
1304260,19,13690,138.7874360847334
1304302,8,16130,49.59702417854929
1304401,9,23585,38.159847360610556
1400027,12,13185,91.01251422070534
1400050,16,15380,104.03120936280884
1400100,1296,419652,308.82731406022134
1400159,2,12557,15.927371187385523
1400175,3,18799,15.958295654024152
1400209,1,22283,4.487726069200736
1400282,3,12296,24.39817826935589
1400308,3,18172,16.50891481399956
1400407,12,11532,104.0582726326743
1400456,12,18913,63.44842172050971
1400472,19,30782,61.7243843804821
1400506,2,8348,23.957834211787254
1400605,2,8110,24.660912453760787
1400704,5,10789,46.343498007229584
1500107,139,159080,87.37742016595423
1500131,1,7486,13.358268768367621
1500206,15,55669,26.94497835420072
1500305,12,39567,30.328303889604975
1500347,2,27615,7.242440702516749
1500404,69,57092,120.85756323127583
1500503,34,34076,99.7769691278319
1500602,428,115969,369.0641464529314
1500701,19,29688,63.99892212341687
1500800,573,535547,106.99341047564452
1500859,15,28607,52.43471877512496
1500909,35,46471,75.31578834111596
1500958,9,31773,28.325937116419603
1501006,5,16404,30.480370641307
1501105,8,31325,25.538707102952912
1501204,8,48459,16.508801254668896
1501303,147,127027,115.72342887732529
1501402,5782,1499641,385.55894377387654
1501451,17,17839,95.29682157071585
1501501,55,63768,86.25015681846695
1501576,3,17118,17.52541184717841
1501600,4,16530,24.198427102238355
1501709,273,128914,211.76908636765597
1501725,9,14983,60.06807715410799
1501758,2,7368,27.14440825190011
1501782,20,67332,29.703558486306658
1501808,210,103497,202.90443201252208
1501907,24,29427,81.55775308390254
1501956,1,34609,2.889421826692479
1502004,9,24064,37.400265957446805
1502103,182,139364,130.59326655377285
