cod_municipio,pop_2021,obitos_covid,obitos_covid_1k
1300607,43935,54.0,1.2290884260839876
1300631,20093,13.0,0.6469914895734833
1300680,19626,7.0,0.3566697238357281
1300706,34635,18.0,0.5197055002165439
1300805,41748,25.0,0.598831081728466
1300839,13283,5.0,0.37642098923435974
1300904,15807,6.0,0.37957866767887644
1301001,28508,33.0,1.1575698049670269
1301100,38348,4.0,0.10430791697089808
1301159,30846,1.0,0.032419114309797055
1301209,85910,190.0,2.211616808287743
1301308,29168,11.0,0.3771256171146462
1301407,35700,23.0,0.6442577030812325
1301506,20393,3.0,0.14710930221154317
1301605,17005,34.0,1.9994119376653923
1301654,16937,5.0,0.29521166676507055
1301704,56144,43.0,0.7658877172983756
1301803,30436,5.0,0.1642791431199895
1301852,49011,22.0,0.44887882312134014
1301902,102701,113.0,1.1002813994021479
1301951,7814,5.0,0.6398771435884311
1302009,9230,10.0,1.0834236186348862
1302108,2251,1.0,0.444247001332741
1302207,15106,11.0,0.7281874751754269
1302306,13886,27.0,1.9444044361227135
1302405,46882,60.0,1.2798088818736402
1302504,98502,157.0,1.5938762664717467
1302553,33049,16.0,0.48412962570728313
1302603,2219580,6920.0,3.117706953567792
1302702,56583,26.0,0.4595019705565276
1302801,18261,0.0,0.0
1302900,65040,69.0,1.0608856088560885
1303007,21443,12.0,0.5596231870540503
1303106,38026,20.0,0.525955924893494
1303205,19928,7.0,0.35126455238859894
1303304,26046,13.0,0.49911694694002917
1303403,115363,202.0,1.7509946863379073
1303502,19522,9.0,0.46101833828501176
1303536,37193,19.0,0.5108488156373511
1303569,34106,1.0,0.029320354189878613
1303601,25865,20.0,0.7732456988208003
1303700,21243,45.0,2.1183448665442732
1303809,46303,80.0,1.7277498218257996
1303908,40073,51.0,1.272677363811045
1303957,14352,1.0,0.06967670011148272
1304005,9230,8.0,0.866738894907909
1304062,67182,133.0,1.9796969426334434
1304104,17015,10.0,0.5877167205406995
1304203,59547,188.0,3.1571699665810202
1304237,18897,28.0,1.4817166746044346
1304260,13690,17.0,1.241782322863404
1304302,16130,8.0,0.49597024178549287
1304401,23585,8.0,0.33919864320542714
1400027,13185,5.0,0.37921880925293894
1400050,15380,0.0,0.0
1400100,419652,1181.0,2.814236557909887
1400159,12557,1.0,0.07963685593692761
1400175,18799,2.0,0.10638863769349434
1400209,22283,1.0,0.044877260692007356
1400233,10383,0.0,0.0
1400282,12296,1.0,0.08132726089785297
1400308,18172,0.0,0.0
1400407,11532,12.0,1.040582726326743
1400456,18913,11.0,0.5816105324380055
1400472,30782,15.0,0.4872977714248587
1400506,8348,2.0,0.23957834211787254
1400605,8110,2.0,0.2466091245376079
1400704,10789,3.0,0.27806098804337753
1500107,159080,123.0,0.7731958762886597
1500131,7486,1.0,0.1335826876836762
1500206,55669,7.0,0.12574323231960338
1500305,39567,11.0,0.2780094523213789
1500347,27615,1.0,0.036212203512583745
1500404,57092,55.0,0.9633573880753871
1500503,34076,34.0,0.997769691278319
1500602,115969,401.0,3.457820624477231
1500701,29688,15.0,0.5052546483427648
1500800,535547,462.0,0.8626693828926313
1500859,28607,12.0,0.41947775020099975
1500909,46471,32.0,0.6886014934044888
1500958,31773,9.0,0.283259371164196
1501006,16404,5.0,0.30480370641307
1501105,31325,7.0,0.223463687150838
1501204,48459,6.0,0.12381600941001672
1501253,3262,0.0,0.0
1501303,127027,132.0,1.039149157265778
1501402,1499641,4882.0,3.2554458033622713
1501451,17839,16.0,0.8969112618420315
1501501,63768,39.0,0.6115920210764019
1501576,17118,2.0,0.11683607898118939
1501600,16530,4.0,0.24198427102238354
1501709,128914,258.0,2.0013342228152102
1501725,14983,9.0,0.6006807715410799
1501758,7368,2.0,0.2714440825190011
1501782,67332,18.0,0.26733202637675996
1501808,103497,193.0,1.8647883513531793
1501907,29427,21.0,0.7136303394841472
1501956,34609,0.0,0.0
1502004,24064,9.0,0.3740026595744681
1502103,139364,164.0,1.176774489825206
