cod_municipio,parede_total,familias_cadastradas,parede_porcentagem
412270,3970,3985.0,0.9962358845671268
230725,17356,17422.0,0.9962116863735507
251720,4713,4731.0,0.9961953075459734
352760,6020,6043.0,0.9961939434055932
430195,1566,1572.0,0.9961832061068703
351890,3120,3132.0,0.9961685823754789
420020,1551,1557.0,0.9961464354527938
260850,18588,18660.0,0.9961414790996784
315830,4598,4616.0,0.9961005199306759
410780,2292,2301.0,0.9960886571056062
290760,13748,13802.0,0.996087523547312
240780,19506,19583.0,0.9960680181790328
314435,6810,6837.0,0.9960508995173322
251200,16642,16708.0,0.9960497965046684
313160,5287,5308.0,0.996043707611153
290350,17103,17171.0,0.996039834604857
320110,9042,9078.0,0.9960343688037012
220415,3006,3018.0,0.9960238568588469
292273,10382,10424.0,0.9959708365310821
230930,24942,25044.0,0.9959271681839962
310230,8793,8829.0,0.9959225280326198
354290,3662,3677.0,0.9959205874354093
240725,3879,3895.0,0.9958921694480103
354515,1695,1702.0,0.9958871915393654
316820,1450,1456.0,0.9958791208791209
291440,24246,24347.0,0.9958516449665257
421700,2391,2401.0,0.9958350687213661
520880,36563,36716.0,0.9958328793986273
320270,8555,8591.0,0.9958095681527179
330515,12103,12154.0,0.9958038505841699
311620,2126,2135.0,0.9957845433255269
313530,2125,2134.0,0.9957825679475164
316294,3514,3529.0,0.9957495041088127
241120,27332,27449.0,0.9957375496375096
260800,24036,24139.0,0.9957330461079581
351492,1397,1403.0,0.9957234497505346
354900,1394,1400.0,0.9957142857142857
260060,15705,15773.0,0.9956888353515502
291430,9432,9473.0,0.9956719096379183
320180,2755,2767.0,0.9956631731116733
314875,6646,6675.0,0.9956554307116104
355730,4118,4136.0,0.9956479690522244
320503,9819,9862.0,0.9956398296491584
320050,7073,7104.0,0.9956362612612613
230425,22582,22681.0,0.9956351130902518
412260,5015,5037.0,0.9956323208258884
314900,3419,3434.0,0.9956319161327898
316550,5458,5482.0,0.9956220357533747
313867,4989,5011.0,0.9956096587507484
354950,6100,6127.0,0.9955932756650889
311640,2908,2921.0,0.9955494693598083
231325,8681,8720.0,0.9955275229357798
352950,2000,2009.0,0.9955201592832255
250053,4659,4680.0,0.9955128205128205
