cod_municipio,assasinatos_jovens,pop_2021,assasinatos_jovens_100k
1503903,2,58960,3.3921302578018997
1504059,14,30235,46.30395237307756
1504208,76,283542,26.803789209358754
1504406,5,28450,17.57469244288225
1504422,29,133685,21.692785278827092
1504455,6,31975,18.764659890539484
1504505,2,27890,7.171029042667623
1504604,10,31530,31.71582619727244
1504703,23,83182,27.650212786420138
1504752,2,16184,12.357884330202669
1504802,4,58162,6.877342594821361
1504901,1,40906,2.4446291497579815
1504950,4,21444,18.653236336504385
1505007,6,15506,38.694698826260804
1505031,11,25766,42.691919583947836
1505064,8,77214,10.36081539617168
1505106,5,52306,9.559132795472795
1505304,6,74016,8.106355382619974
1505403,8,17961,44.54094983575525
1505437,14,33335,41.99790010499475
1505486,7,48414,14.458627669682324
1505494,2,7582,26.378264310208387
1505502,33,114503,28.820205584133166
1505536,69,213576,32.307000786605236
1505551,1,5410,18.484288354898336
1505650,3,31659,9.47597839476926
1505809,9,62945,14.29819683850981
1505908,4,41801,9.569149063419536
1506104,2,10857,18.421295017039697
1506112,6,13702,43.789227849948915
1506138,27,85563,31.55569580309246
1506161,6,18201,32.96522169111587
1506187,7,52803,13.256822529022973
1506203,13,40922,31.76775328674063
1506302,2,24075,8.307372793354102
1506351,6,21449,27.97333209007413
1506500,12,71837,16.704483761849744
1506609,4,24995,16.003200640128025
1506708,3,74419,4.031228584098147
1506807,30,306480,9.788566953797964
1507003,1,31918,3.13302838523717
1507102,2,18129,11.032048099729716
1507151,2,25753,7.7660855046014055
1507201,4,32139,12.445937956999284
1507300,18,132138,13.622122326658493
1507409,6,15930,37.664783427495294
1507458,2,24705,8.095527221210281
1507607,12,59632,20.12342366514623
1507706,4,26974,14.829094683769556
1507805,8,11480,69.68641114982579
1507904,4,25565,15.646391550948563
1507953,25,108969,22.942304692160157
1507961,3,11847,25.32286654849329
1507979,1,18917,5.286250462546915
1508001,39,64030,60.90894893018898
1508035,7,31257,22.394983523690694
1508084,7,40136,17.440701614510665
1508100,52,115144,45.160842076009175
1508126,12,60761,19.74951037672191
