cod_municipio,obitos_acidentes,pop_2021,obitos_acidentes_100k
2306405,18,130539,13.788982602900283
2307106,3,27181,11.03712151870792
2307205,3,8130,36.90036900369004
2307304,133,276264,48.14235658645354
2307502,8,31492,25.40327702273593
2307650,14,229458,6.101334449005918
2307700,7,130346,5.37032206588618
2308104,20,48168,41.521341969772465
2308302,7,27462,25.489767678974584
2308401,8,35480,22.547914317925592
2308500,1,43858,2.280085731223494
2309458,1,25833,3.871017690550846
2309607,6,73188,8.198065256599442
2309706,3,84554,3.5480284788419234
2310209,3,35304,8.49762066621346
2310258,2,32992,6.062075654704171
2310605,1,9143,10.937329104232747
2310704,4,37900,10.554089709762533
2310852,7,20769,33.704078193461406
2311108,1,14958,6.685385746757588
2311207,7,11106,63.02899333693499
2311405,1,81778,1.2228227640685758
2311603,7,29146,24.017017772593153
2311959,11,16635,66.12563871355576
2312106,1,17712,5.645889792231256
2312403,8,48869,16.370296097730666
2312601,3,13044,22.999080036798528
2313005,2,18357,10.89502642043907
2313401,2,76537,2.6131152253158603
2313500,13,56291,23.094277948517526
2313757,8,19903,40.19494548560519
2400802,1,11705,8.543357539513028
2401008,1,35874,2.787534147293304
2402105,2,11291,17.71322292091046
2404309,1,13076,7.647598654022637
2405801,3,35160,8.532423208191126
2408102,26,890480,2.9197736052466086
2408953,1,10905,9.170105456212747
2409209,1,3102,32.23726627981947
2409407,2,30600,6.5359477124183005
2412906,3,11053,27.141952411110108
2414001,2,15869,12.603188606717499
2510808,2,108192,1.8485655131617864
2613909,10,86915,11.505493873324513
2901106,1,25048,3.992334717342702
2901304,2,13132,15.229972586049344
2901353,2,14503,13.790250293042819
2901700,2,11677,17.127686905883362
2902609,1,20449,4.890214680424471
2905107,2,9058,22.079929344226098
2905503,2,13391,14.935404376073482
2905602,2,32006,6.248828344685371
2906303,3,30906,9.706853038245
2906873,1,30862,3.240230704426155
2908200,2,22762,8.786574114752659
2908903,2,22495,8.890864636585908
2910800,41,619609,6.617076252927249
2911253,1,4440,22.52252252252252
2912707,7,23404,29.909417193642113
2913606,25,159923,15.632523151766788
2914505,1,29173,3.4278271004010556
2914703,1,64646,1.5468861182439748
2914901,6,28684,20.9175847162181
2917508,13,80635,16.12203137595337
2920700,9,20617,43.653295823834696
