cod_municipio,piso_total,familias_cadastradas,piso_porcentagem
150210,88281,124186.0,0.7108772325382894
150215,20710,40198.0,0.5151997611821484
150220,23766,52275.0,0.45463414634146343
150230,13464,53655.0,0.2509365389991613
150240,85664,137654.0,0.6223139175033053
150250,14253,15949.0,0.8936610445795975
150260,4029,10828.0,0.3720908755079424
150270,13629,33560.0,0.4061084624553039
150275,7072,29218.0,0.2420425764939421
150276,442,8772.0,0.050387596899224806
150277,4762,21358.0,0.22296095139994382
150280,24922,27589.0,0.9033310377324296
150285,4446,13182.0,0.33727810650887574
150290,6092,41861.0,0.14552925157067437
150293,12774,36901.0,0.3461694805018834
150295,8198,27770.0,0.29521065898451565
150300,1540,12817.0,0.12015292190060077
150304,3675,16418.0,0.22383968814715557
150307,2420,21363.0,0.11327997004166082
150309,6256,24227.0,0.25822429520782597
150310,21717,26960.0,0.8055267062314541
150320,10107,35218.0,0.28698392867283773
150330,50670,57188.0,0.8860250402182276
150340,3106,8941.0,0.34738843529806507
150345,10189,34427.0,0.2959595666192233
150350,8114,38666.0,0.20984844566285626
150360,32990,95264.0,0.34630080618071885
150370,11785,43149.0,0.2731233632297388
150375,2368,14665.0,0.161472894647119
150380,13964,39153.0,0.35665210839526984
150390,8566,28629.0,0.29920709769813825
150400,23498,24519.0,0.9583588237693218
150405,10779,33523.0,0.3215404349252752
150410,2170,7235.0,0.29993089149965446
150420,76959,177388.0,0.4338455814373013
150430,5343,30738.0,0.1738239312902596
150440,5774,25287.0,0.22833867204492428
150442,72226,117929.0,0.6124532557725411
150445,15533,30599.0,0.5076309683322985
150450,11402,24149.0,0.4721520559857551
150460,16961,32611.0,0.5201005795590445
150470,48639,77716.0,0.6258556796541253
150475,6444,20790.0,0.30995670995670993
150480,19188,53833.0,0.3564356435643564
150490,28339,30359.0,0.9334628940347178
150495,2401,20718.0,0.11588956462979053
150497,3144,10224.0,0.3075117370892019
150500,3521,11696.0,0.30104309165526677
150503,9101,21236.0,0.4285647014503673
150506,13292,50399.0,0.2637353915752297
150510,20461,47809.0,0.4279738124620887
150520,17031,30573.0,0.5570601511137278
150530,22237,46031.0,0.48308748452130085
