ano,cod_municipio,tdi_em
2022,1304062,37.7
2022,1304104,29.1
2022,1304203,42.7
2022,1304237,42.6
2022,1304260,52.1
2022,1304302,32.5
2022,1304401,28.4
2022,1400027,38.5
2022,1400050,25.1
2022,1400100,17.8
2022,1400159,30.9
2022,1400175,30
2022,1400209,24.6
2022,1400233,35.9
2022,1400282,38.5
2022,1400308,25.2
2022,1400407,39
2022,1400456,27.8
2022,1400472,32.1
2022,1400506,36.4
2022,1400605,27.4
2022,1400704,43.3
2022,1500107,33.9
2022,1500131,50.4
2022,1500206,60.5
2022,1500305,52.5
2022,1500347,36.4
2022,1500404,40.8
2022,1500503,55.4
2022,1500602,32.1
2022,1500701,63
2022,1500800,32.3
2022,1500859,45.6
2022,1500909,54.2
2022,1500958,54.5
2022,1501006,43.7
2022,1501105,60
2022,1501204,55
2022,1501253,51
2022,1501303,47.5
2022,1501402,33.9
2022,1501451,44
2022,1501501,35.7
2022,1501576,47.1
2022,1501600,56.5
2022,1501709,42.5
2022,1501725,34
2022,1501758,47.3
2022,1501782,46.4
2022,1501808,59.5
2022,1501907,53.5
2022,1501956,49
2022,1502004,45.6
2022,1502103,44.5
2022,1502152,39.9
2022,1502202,44.3
2022,1502301,48.6
2022,1502400,40.5
2022,1502509,62.3
2022,1502608,37.6
2022,1502707,35.5
2022,1502756,57.6
2022,1502764,51.9
2022,1502772,38.4
2022,1502806,61.9
2022,1502855,34.7
2022,1502905,59.8
2022,1502939,40.3
2022,1502954,41.2
2022,1503002,34.4
2022,1503044,40.1
2022,1503077,46.3
2022,1503093,54.7
2022,1503101,57.9
2022,1503200,44.4
2022,1503309,44.5
2022,1503408,51.1
2022,1503457,57
2022,1503507,53.8
2022,1503606,42.7
2022,1503705,44.6
2022,1503754,63.3
2022,1503804,39.9
2022,1503903,44.5
2022,1504000,47.7
2022,1504059,45.4
2022,1504109,51.4
2022,1504208,31.7
2022,1504307,51.4
2022,1504406,58.9
2022,1504422,39.9
2022,1504455,43.3
2022,1504505,61.4
2022,1504604,49.2
2022,1504703,51.9
2022,1504752,27.5
2022,1504802,32.6
2022,1504901,49.5
2022,1504950,51.5
2022,1504976,54.2
2022,1505007,51.4
2022,1505031,31.8
2022,1505064,44.5
2022,1505106,52.7
2022,1505205,66.6
2022,1505304,37.3
2022,1505403,43.6
2022,1505437,37.5
2022,1505486,42.6
2022,1505494,61.7
2022,1505502,38.7
2022,1505536,30
