ano,cod_municipio,reprovacao_ef
2022,1303601,0.5
2022,1303700,6.9
2022,1303809,5.7
2022,1303908,5.0
2022,1303957,2.1
2022,1304005,1.3
2022,1304062,3.3
2022,1304104,6.9
2022,1304203,5.7
2022,1304237,3.3
2022,1304260,9.5
2022,1304302,2.4
2022,1304401,5.5
2022,1400027,2.5
2022,1400050,3.2
2022,1400100,3.6
2022,1400159,5.7
2022,1400175,3.3
2022,1400209,9.1
2022,1400233,8.8
2022,1400282,8.5
2022,1400308,6.3
2022,1400407,4.7
2022,1400456,3.3
2022,1400472,6.1
2022,1400506,3.7
2022,1400605,2.1
2022,1400704,5.9
2022,1500107,10.4
2022,1500131,11.9
2022,1500206,16.9
2022,1500305,25.6
2022,1500347,17.9
2022,1500404,14.9
2022,1500503,20.8
2022,1500602,5.0
2022,1500701,23.6
2022,1500800,3.6
2022,1500859,8.9
2022,1500909,14.0
2022,1500958,10.2
2022,1501006,8.9
2022,1501105,15.8
2022,1501204,15.2
2022,1501253,13.3
2022,1501303,14.4
2022,1501402,6.5
2022,1501451,10.6
2022,1501501,3.9
2022,1501576,14.7
2022,1501600,13.7
2022,1501709,13.2
2022,1501725,6.0
2022,1501758,6.0
2022,1501782,13.9
2022,1501808,23.5
2022,1501907,9.6
2022,1501956,13.8
2022,1502004,15.8
2022,1502103,19.8
2022,1502152,6.7
2022,1502202,8.6
2022,1502301,11.3
2022,1502400,8.1
2022,1502509,17.5
2022,1502608,10.6
2022,1502707,5.9
2022,1502756,20.5
2022,1502764,1.2
2022,1502772,3.6
2022,1502806,20.2
2022,1502855,9.1
2022,1502905,11.7
2022,1502939,9.8
2022,1502954,14.3
2022,1503002,9.2
2022,1503044,7.0
2022,1503077,21.2
2022,1503093,20.0
2022,1503101,16.4
2022,1503200,9.1
2022,1503309,22.5
2022,1503408,17.5
2022,1503457,14.6
2022,1503507,15.2
2022,1503606,8.2
2022,1503705,10.6
2022,1503754,13.6
2022,1503804,8.4
2022,1503903,5.7
2022,1504000,13.6
2022,1504059,9.1
2022,1504109,11.0
2022,1504208,4.5
2022,1504307,8.9
2022,1504406,7.7
2022,1504422,10.0
2022,1504455,16.2
2022,1504505,19.3
2022,1504604,16.6
2022,1504703,0.0
2022,1504752,3.3
2022,1504802,11.4
2022,1504901,14.4
2022,1504950,12.3
2022,1504976,19.6
2022,1505007,4.4
2022,1505031,3.6
2022,1505064,11.2
2022,1505106,14.9
2022,1505205,28.5
2022,1505304,6.5
2022,1505403,13.4
2022,1505437,6.1
2022,1505486,15.9
2022,1505494,9.7
2022,1505502,10.6
2022,1505536,3.2
2022,1505551,3.4
2022,1505601,11.2
2022,1505635,11.4
2022,1505650,3.9
2022,1505700,6.2
2022,1505809,25.3
2022,1505908,7.5
2022,1506005,9.7
2022,1506104,20.6
2022,1506112,16.1
2022,1506138,4.2
2022,1506161,2.1
2022,1506187,14.2
2022,1506195,9.2
2022,1506203,2.8
2022,1506302,10.9
2022,1506351,9.5
2022,1506401,13.3
2022,1506500,1.1
2022,1506559,12.2
2022,1506583,10.1
2022,1506609,14.8
2022,1506708,16.4
2022,1506807,5.9
2022,1506906,8.2
2022,1507003,9.3
2022,1507102,14.2
2022,1507151,14.4
2022,1507201,20.1
2022,1507300,10.6
2022,1507409,14.6
2022,1507458,4.1
2022,1507466,6.0
2022,1507474,1.1
2022,1507508,13.5
2022,1507607,16.8
2022,1507706,8.1
2022,1507755,18.9
2022,1507805,15.6
2022,1507904,12.2
2022,1507953,13.9
2022,1507961,7.1
2022,1507979,0.6
2022,1508001,0.7
2022,1508035,18.1
2022,1508050,11.8
2022,1508084,11.5
2022,1508100,13.8
2022,1508126,2.1
2022,1508159,5.1
2022,1508209,10.8
2022,1508308,12.1
2022,1508357,8.2
2022,1508407,11.7
2022,1600055,9.5
2022,1600105,6.8
2022,1600154,3.1
2022,1600204,15.9
2022,1600212,12.1
2022,1600238,16.8
2022,1600253,17.7
2022,1600279,8.0
2022,1600303,8.9
2022,1600402,17.1
2022,1600501,12.8
2022,1600535,9.1
2022,1600550,17.6
2022,1600600,8.0
2022,1600709,11.1
2022,1600808,8.5
2022,1700251,4.0
2022,1700301,8.1
2022,1700350,3.0
2022,1700400,1.8
2022,1700707,2.6
2022,1701002,3.2
2022,1701051,4.2
2022,1701101,0.5
2022,1701309,3.9
2022,1701903,1.0
2022,1702000,5.7
