cod_municipio,obitos_diabetes_mellitus,pop_2021,obitos_diabetes_mellitus_100k
2110856,1,11941,8.374507997655138
2110906,1,12218,8.18464560484531
2111003,23,20701,111.10574368388001
2111029,3,15787,19.002977133084183
2111052,11,11193,98.27570803180559
2111102,34,25996,130.789352208032
2111201,231,179028,129.03009585092835
2111250,5,7640,65.44502617801047
2111300,1549,1108975,139.67853197772718
2111409,4,18727,21.359534362150907
2111508,37,41579,88.9872291300897
2111532,3,12735,23.557126030624264
2111573,13,4684,277.5405636208369
2111607,16,18980,84.29926238145416
2111631,8,5131,155.9150263106607
2111672,4,6789,58.91883929886581
2111706,9,22350,40.26845637583892
2111748,10,11214,89.17424647761726
2111763,17,14050,120.99644128113879
2111789,4,10299,38.83872220603942
2111805,10,18160,55.06607929515418
2111904,7,10634,65.82659394395336
2112001,2,8582,23.304591004427873
2112100,8,29183,27.41322002535723
2112209,288,170222,169.19082139793917
2112233,34,22112,153.76266280752532
2112274,1,5854,17.08233686368295
2112308,29,42040,68.98192197906755
2112407,35,35709,98.01450614690974
2112456,3,25868,11.597340343281274
2112506,39,59398,65.65877638977743
2112605,3,33459,8.966197435667533
2112704,21,57168,36.733837111670866
2112803,28,52649,53.18239662671656
2112902,29,32861,88.25050972277168
2113009,34,31522,107.86117632129941
2114007,54,51956,103.9340980829933
2200103,6,5131,116.93626973299551
2200202,21,17470,120.20606754436176
2200251,5,7665,65.23157208088715
2200277,1,4918,20.3334688897926
2200301,8,14339,55.79189622707302
2200400,39,40605,96.04728481714075
2200459,3,5445,55.09641873278237
2200509,11,17604,62.485798682117704
2200608,5,6783,73.71369600471768
2200707,4,9938,40.249547192594086
2200806,2,3170,63.09148264984227
2200905,1,5827,17.16148961729878
2200954,2,2551,78.40062720501764
2201051,2,7863,25.435584382551188
2201101,6,11326,52.97545470598622
2201150,9,11671,77.11421472024676
2201176,5,3952,126.51821862348179
2201200,44,47185,93.24997350853026
2201309,1,3352,29.832935560859188
2201408,1,7027,14.230823964707557
2201507,10,26905,37.16781267422412
2201556,6,4030,148.8833746898263
2201606,5,10473,47.74181227919412
2201705,5,5507,90.79353550027238
2201739,4,6210,64.4122383252818
2201804,6,4505,133.18534961154273
2201903,22,25387,86.65852601725292
2201919,3,5651,53.087949035568926
2201929,1,5685,17.590149516270888
2201945,3,6426,46.68534080298786
2201988,1,3848,25.987525987525988
2202000,20,19807,100.97440298884233
2202026,3,8264,36.30203291384318
2202059,1,10630,9.407337723424272
2202075,3,3573,83.9630562552477
2202083,4,7674,52.12405525149857
2202091,4,5781,69.19218128351497
2202109,1,5620,17.793594306049823
2202117,2,5069,39.45551390806865
2202133,1,5965,16.764459346186086
2202174,3,7311,41.03405826836274
2202208,70,46893,149.27601134497687
2202251,3,3944,76.06490872210954
2202307,14,21258,65.85755950700913
2202406,4,11445,34.94975972040192
2202539,2,5890,33.95585738539898
2202604,16,19715,81.15647983768704
2202653,2,5451,36.6905155017428
2202703,20,27845,71.82618064284432
2202711,6,4899,122.4739742804654
2202729,5,6168,81.06355382619974
2202737,3,4032,74.4047619047619
2202752,8,6516,122.77470841006753
2202802,1,4807,20.802995631370916
2202901,44,26709,164.7384776667041
2203008,3,8323,36.044695422323684
2203107,4,10444,38.299502106472616
2203206,7,11426,61.26378435147908
2203230,1,4968,20.128824476650564
2203255,2,4459,44.853106077595875
2203305,10,13840,72.25433526011561
2203354,1,7029,14.226774790155071
2203404,2,6922,28.89338341519792
2203453,4,9565,41.81913225300575
