cod_municipio,obitos_resp,pop_2021,obitos_resp_100k
2107308,7,4682,149.508756941478
2107357,22,21080,104.36432637571157
2107407,6,19561,30.673278462246305
2107456,10,14836,67.40361283364788
2107506,96,123747,77.57763824577566
2107605,11,19781,55.60891764824832
2107704,37,21479,172.26127845802878
2107803,55,35008,157.1069469835466
2107902,5,19137,26.12739718869206
2108009,2,19583,10.21293979471991
2108058,10,16166,61.85822095756526
2108108,28,21066,132.91559859489223
2108207,157,39191,400.60217907172563
2108256,5,25354,19.72075412163761
2108306,41,38731,105.85835635537426
2108405,6,14345,41.826420355524576
2108454,83,23364,355.2473891456942
2108504,23,33065,69.55995765915621
2108603,335,83777,399.8710863363453
2108702,31,21379,145.00210486926423
2108801,21,18720,112.17948717948718
2108900,51,17595,289.8550724637681
2109007,80,24092,332.06043499916984
2109056,1,5955,16.79261125104954
2109106,442,48036,920.1432259138979
2109205,4,12838,31.157501168406295
2109239,6,7070,84.86562942008487
2109270,38,19069,199.27631233939903
2109304,9,11261,79.92185418701713
2109403,10,15431,64.80461408852311
2109452,21,31177,67.35734676203612
2109502,23,20334,113.1110455394905
2109551,7,7825,89.45686900958466
2109601,55,42994,127.92482672000745
2109700,6,5679,105.65240359218173
2109759,2,7826,25.555839509327882
2109809,18,42483,42.36988913212344
2109908,514,89489,574.3722692174457
2110005,44,72887,60.36741805808992
2110039,55,25371,216.78294115328524
2110104,52,25764,201.83201366247476
2110203,48,38298,125.33291555694814
2110237,12,13547,88.58049752712778
2110278,9,16034,56.1307222152925
2110302,26,14522,179.03869990359453
2110401,20,18717,106.85473099321473
2110500,37,45604,81.13323392684852
2110609,28,28667,97.67328286880385
2110658,8,7420,107.81671159029649
2110708,61,34384,177.40809678920428
2110807,3,4562,65.7606313020605
2110856,4,11941,33.498031990620554
2110906,19,12218,155.5082664920609
2111003,32,20701,154.58190425583305
2111029,7,15787,44.340279977196424
2111052,4,11193,35.736621102474764
2111078,14,18645,75.08715473317243
2111102,140,25996,538.5443914448376
2111201,730,179028,407.75744576267397
2111250,19,7640,248.6910994764398
2111300,7190,1108975,648.3464460425167
2111409,32,18727,170.87627489720725
2111508,84,41579,202.02506072777123
2111532,10,12735,78.5237534354142
2111573,10,4684,213.4927412467976
2111607,8,18980,42.14963119072708
2111631,5,5131,97.44689144416293
2111706,38,22350,170.02237136465325
2111748,8,11214,71.3393971820938
