ano,cod_municipio,tdi_ef
2022,1718451,7.7
2022,1718501,14.4
2022,1718550,18.8
2022,1718659,13.9
2022,1718709,21.5
2022,1718758,10.6
2022,1718808,17.8
2022,1718840,14.2
2022,1718865,17.8
2022,1718881,14.6
2022,1718899,12.2
2022,1718907,16.3
2022,1719004,14.3
2022,1720002,10.5
2022,1720101,16.5
2022,1720150,11.7
2022,1720200,20.2
2022,1720259,16.3
2022,1720309,12.4
2022,1720499,8.2
2022,1720655,10.9
2022,1720804,14.9
2022,1720853,12.7
2022,1720903,22.1
2022,1720937,23.7
2022,1720978,9.7
2022,1721000,4.5
2022,1721109,26.9
2022,1721208,18.8
2022,1721257,4.5
2022,1721307,16.3
2022,1722081,12.1
2022,1722107,9.3
2022,2100055,12.6
2022,2100105,23
2022,2100154,17.1
2022,2100204,17.6
2022,2100303,26
2022,2100402,25.4
2022,2100436,14.1
2022,2100477,4.2
2022,2100501,17.2
2022,2100550,18.2
2022,2100600,30.3
2022,2100709,19.4
2022,2100808,25
2022,2100832,23.6
2022,2100873,13.6
2022,2100907,23.7
2022,2100956,31.6
2022,2101004,8.2
2022,2101103,16.9
2022,2101202,11.5
2022,2101251,11.9
2022,2101301,10.3
2022,2101350,33.3
2022,2101400,16.7
2022,2101509,13.4
2022,2101608,26.5
2022,2101707,13.5
2022,2101731,17.9
2022,2101772,23.3
2022,2101806,22.1
2022,2101905,11.4
2022,2101939,17.7
2022,2101970,22.4
2022,2102002,24.4
2022,2102036,16.2
2022,2102077,18.4
2022,2102101,22.6
2022,2102150,14.6
2022,2102200,13.6
2022,2102309,9.7
2022,2102325,15.4
2022,2102358,26.5
2022,2102374,18.6
2022,2102408,16.2
2022,2102507,25.1
2022,2102556,10.4
2022,2102606,17.8
2022,2102705,25.9
2022,2102754,16.3
2022,2102804,23.8
2022,2102903,16.6
2022,2103000,15.2
2022,2103109,15.1
2022,2103125,13.9
2022,2103158,18.8
2022,2103174,23.6
2022,2103208,15.3
2022,2103257,17.4
2022,2103307,17.5
2022,2103406,20.1
2022,2103505,9.9
2022,2103554,26.4
2022,2103604,9.9
2022,2103703,15.5
2022,2103752,24.3
2022,2103802,12.7
2022,2103901,19.5
2022,2104008,17.6
2022,2104057,18.1
2022,2104073,22.5
2022,2104081,37.8
2022,2104099,11.7
2022,2104107,16.4
2022,2104206,16.2
2022,2104305,20.2
2022,2104404,13.9
2022,2104503,15.6
2022,2104552,29.1
2022,2104602,19
2022,2104628,24.9
2022,2104651,28.3
2022,2104677,20.6
2022,2104701,20
2022,2104800,23.4
2022,2104909,16.3
2022,2105005,17.4
2022,2105104,18
2022,2105153,22.5
2022,2105203,15.4
2022,2105302,14.1
2022,2105351,21.4
2022,2105401,14.6
2022,2105427,15.3
2022,2105450,17.5
2022,2105476,43.1
2022,2105500,15.1
2022,2105609,16.4
2022,2105658,13.5
2022,2105708,13.7
2022,2105807,11.1
2022,2105906,21.8
2022,2105922,3.7
2022,2105948,7.5
2022,2105963,17.1
2022,2105989,14.4
2022,2106003,16.2
2022,2106102,12
2022,2106201,17.4
2022,2106300,14.5
2022,2106326,22.1
2022,2106359,24.6
2022,2106375,28.3
2022,2106409,15.2
2022,2106508,11.3
2022,2106607,19.6
2022,2106631,21.2
2022,2106672,15
2022,2106706,17
2022,2106755,10.6
2022,2106805,17.1
2022,2106904,29
2022,2107001,30.3
2022,2107100,22.8
2022,2107209,12.6
2022,2107258,22.5
2022,2107308,18.4
2022,2107357,17.8
2022,2107407,28.2
2022,2107456,16.4
2022,2107506,11.5
2022,2107605,15
2022,2107704,23.8
2022,2107803,22.9
2022,2107902,11.4
2022,2108009,8.2
2022,2108058,13.9
2022,2108108,19.6
2022,2108207,15.8
2022,2108256,17.5
2022,2108306,14.7
2022,2108405,13.3
2022,2108454,17.3
2022,2108504,17.7
2022,2108603,9.6
2022,2108702,26
2022,2108801,16.4
2022,2108900,17
2022,2109007,9.4
2022,2109056,11
2022,2109106,15.7
2022,2109205,17.2
2022,2109239,18.7
2022,2109270,13.7
2022,2109304,15.9
2022,2109403,18.8
2022,2109452,14.5
2022,2109502,18.2
2022,2109551,20.6
2022,2109601,8.8
2022,2109700,16.2
2022,2109759,19.1
2022,2109809,27.5
2022,2109908,14.7
2022,2110005,14
2022,2110039,17
2022,2110104,21.4
2022,2110203,8.9
2022,2110237,19.8
2022,2110278,22.1
2022,2110302,14.3
2022,2110401,13.8
2022,2110500,14
2022,2110609,14.4
2022,2110658,18.4
2022,2110708,10.5
2022,2110807,30
2022,2110856,18.3
2022,2110906,18.8
2022,2111003,21.3
2022,2111029,21.4
2022,2111052,14.4
2022,2111078,19.5
2022,2111102,12.2
2022,2111201,10.2
2022,2111250,21.3
2022,2111300,15.2
2022,2111409,19.9
2022,2111508,12.4
2022,2111532,14.8
2022,2111573,17.2
2022,2111607,12
2022,2111631,27
2022,2111672,24.6
2022,2111706,13.9
2022,2111722,30.7
2022,2111748,21.2
2022,2111763,20.3
2022,2111789,17.9
2022,2111805,13.3
