cod_municipio,obitos_cancer,pop_2021,obitos_cancer_100k
2208304,3,28874,10.389970215418716
2208403,6,63787,9.406305360026337
2208502,2,12608,15.862944162436548
2208874,1,4488,22.281639928698752
2209005,1,6433,15.5448468832582
2210003,2,20662,9.679605072113057
2210201,2,6700,29.850746268656717
2210607,5,34877,14.336095421051123
2210979,1,2773,36.062026685899745
2211001,209,868075,24.076260691760506
2211209,2,21655,9.235742322789195
2300200,3,63104,4.754056795131846
2300309,1,54481,1.835502285200345
2301000,5,80935,6.177796997590659
2301109,2,74975,2.66755585195065
2301307,1,21654,4.618084418583171
2301406,2,11802,16.94628029147602
2301901,86,61228,140.4586137061475
2302107,1,35941,2.782337720152472
2302206,5,53949,9.268012382064542
2302305,1,32722,3.0560479188313674
2302404,4,54577,7.329094673580446
2302503,6,49842,12.03804020705429
2302602,2,63907,3.1295476238909665
2302800,9,77244,11.65139039925431
2302909,3,17786,16.86719892049927
2303105,2,18459,10.83482312151254
2303204,1,26987,3.7054878274724867
2303402,2,17685,11.309018942606729
2303501,2,72232,2.768855908738509
2303600,1,20871,4.791337262229888
2303709,16,365212,4.381017053108879
2303808,1,25585,3.9085401602501464
2304103,4,75159,5.322050586090821
2304202,11,133031,8.268749389240101
2304236,7,18133,38.60365080240446
2304285,4,54337,7.3614664041076985
2304400,550,2686612,20.471880569282053
2304707,1,54962,1.8194388850478513
2305001,3,40784,7.3558258140447235
2305209,1,20053,4.986785019697801
2305233,2,68529,2.9184724715084127
2305407,6,68162,8.802558610369415
2305506,9,103074,8.731590895861226
2305605,4,26187,15.274754649253447
2305654,2,11596,17.247326664367023
2305803,3,42058,7.133006800133149
2306108,1,24305,4.114379757251594
2306405,10,130539,7.660545890500157
2306553,1,42215,2.3688262465948124
2306900,8,34636,23.0973553528121
2307304,36,276264,13.031013812874642
2307601,5,59890,8.348639171814995
2307650,7,229458,3.050667224502959
2307700,3,130346,2.3015665996655055
2307809,4,27595,14.495379597753216
2308104,2,48168,4.152134196977246
2308302,5,27462,18.206976913553273
2308500,7,43858,15.960600118564457
2308609,1,17249,5.797437532610586
2308708,5,61738,8.098739836081506
2309201,1,15684,6.375924509053813
2309508,4,21384,18.705574261129815
2310001,2,9422,21.226915729144554
2310100,1,13439,7.441029838529652
2310258,2,32992,6.062075654704171
2310308,4,31455,12.716579240184391
2310506,2,43309,4.617977787526842
2310605,2,9143,21.874658208465494
2310704,1,37900,2.638522427440633
2310852,3,20769,14.444604940054889
2310902,2,17086,11.705489874751258
2310951,1,11001,9.09008271975275
2311009,2,12347,16.198266785453956
2311207,1,11106,9.004141905276427
2311306,2,88321,2.264467114276333
2311355,1,16147,6.193100885613426
2311405,14,81778,17.119518696960064
2311702,3,18385,16.317650258362796
2311801,2,78882,2.535432671585406
2312205,2,43711,4.575507309372926
2312403,2,48869,4.0925740244326665
2312908,72,210711,34.17002434614235
2313302,3,59062,5.079408079645119
2313401,2,76537,2.6131152253158603
2313500,1,56291,1.7764829191167326
2313708,1,7736,12.926577042399172
2314102,4,61410,6.513597134017261
2400208,1,58384,1.7127980268566732
2400505,2,13553,14.756880395484394
2401503,1,3994,25.03755633450175
2401800,2,12787,15.640885274106514
2402006,7,68343,10.24245350657712
2402600,2,73886,2.7068727499120264
2403202,1,7072,14.14027149321267
2403251,8,267036,2.9958507467157984
2403400,2,6054,33.03600925008259
2403608,4,28936,13.823610727121924
2404309,1,13076,7.647598654022637
2404507,2,15963,12.52897325064211
2405702,1,12396,8.067118425298483
2405801,3,35160,8.532423208191126
2406106,1,18315,5.46000546000546
2406502,1,15749,6.349609499015811
2406700,1,11344,8.815232722143865
2407104,2,81821,2.4443602498136174
2407807,2,22576,8.85896527285613
2408003,64,300618,21.28947701069131
2408102,268,890480,30.096127931003505
2408300,1,37450,2.67022696929239
