cod_municipio,obitos_circulatorio,pop_2021,obitos_circulatorio_100k
1503002,19,7070,268.7411598302687
1503044,37,20525,180.2679658952497
1503077,45,26111,172.3411588985485
1503093,111,41081,270.1979017063849
1503101,59,33755,174.7889201599763
1503200,188,39023,481.76716295518025
1503309,173,63036,274.44634811853547
1503408,26,11861,219.20580052272152
1503457,101,65625,153.9047619047619
1503507,161,32595,493.94078846448843
1503606,465,101395,458.6024951920706
1503705,88,53355,164.93299597038703
1503754,43,7590,566.5349143610014
1503804,107,59842,178.80418435212727
1503903,126,58960,213.70420624151967
1504000,47,29282,160.5081620107916
1504059,100,30235,330.742516950554
1504109,41,8573,478.24565496325675
1504208,684,283542,241.2341028842288
1504307,94,29516,318.47133757961785
1504406,99,28450,347.97891036906856
1504422,317,133685,237.12458390993754
1504455,69,31975,215.79358874120408
1504505,41,27890,147.00609537468625
1504604,78,31530,247.383444338725
1504703,99,83182,119.01613329806929
1504752,10,16184,61.78942165101335
1504802,278,58162,477.9753103400846
1504901,107,40906,261.57531902410403
1504950,35,21444,163.21581794441335
1504976,50,16854,296.66548000474666
1505007,11,15506,70.94028118147814
1505031,51,25766,197.93526352557635
1505064,117,77214,151.5269251690108
1505106,194,52306,370.8943524643444
1505205,57,32850,173.5159817351598
1505304,116,74016,156.72287073065283
1505403,42,17961,233.83998663771504
1505437,42,33335,125.99370031498425
1505486,68,48414,140.45524021977113
1505494,11,7582,145.08045370614613
1505502,397,114503,346.71580657275354
1505536,419,213576,196.18309173315353
1505551,28,5410,517.5600739371534
1505601,25,8081,309.36765251825267
1505635,34,12979,261.9616303259111
1505650,47,31659,148.45699485138508
1505700,65,31549,206.02871723350978
1505809,76,62945,120.74032885852729
1505908,64,41801,153.10638501471257
1506005,70,29846,234.53729142933727
1506104,33,10857,303.951367781155
1506112,36,13702,262.73536709969346
1506138,452,85563,528.2657223332516
1506161,56,18201,307.6754024504148
1506187,147,52803,278.39327310948244
1506195,53,51500,102.9126213592233
1506203,127,40922,310.3465128781584
1506302,69,24075,286.6043613707165
1506351,76,21449,354.328873140939
1506401,12,10314,116.34671320535195
1506500,222,71837,309.03294959422027
1506559,48,19843,241.89890641536059
1506583,28,21850,128.14645308924486
1506609,53,24995,212.04240848169633
1506708,82,74419,110.18691463201601
1506807,992,306480,323.675280605586
1506906,11,6753,162.89056715533837
1507003,110,31918,344.63312237608875
1507102,48,18129,264.76915439351313
1507151,82,25753,318.40950568865765
1507201,73,32139,227.13836771523694
1507300,133,132138,100.6523483025322
1507409,36,15930,225.98870056497177
1507458,72,24705,291.43897996357015
1507466,11,6217,176.93421264275375
1507474,77,23244,331.2682842884185
1507508,15,14051,106.75396768913245
1507607,188,59632,315.2669707539576
1507706,54,26974,200.192778230889
1507755,11,6009,183.05874521551007
1507805,22,11480,191.6376306620209
1507904,159,25565,621.9440641502053
1507953,129,108969,118.3822922115464
1507961,31,11847,261.6696210010973
1507979,62,18917,327.74752867790875
1508001,157,64030,245.19756364204278
1508035,106,31257,339.12403621588766
1508050,64,19168,333.889816360601
1508084,129,40136,321.4072154674108
1508100,538,115144,467.24101994024875
1508126,66,60761,108.62230707197051
1508159,137,45435,301.5296577528337
1508209,115,54172,212.28679022373183
1508308,123,61751,199.18705769947044
1508357,31,15279,202.89285948033248
1508407,194,45086,430.2887814399148
1600055,2,5488,36.44314868804665
1600105,9,9187,97.96451507565038
1600154,6,17067,35.15556336790297
1600204,9,11306,79.60375022112153
1600212,2,6101,32.78151122766759
1600238,11,7967,138.06953683946278
1600279,95,51362,184.9616447957634
1600303,1265,512902,246.63580956985936
1600402,18,22053,81.62154808869542
1600501,30,27906,107.50376263169211
1600535,13,22452,57.90130055228933
1600550,6,5246,114.3728555089592
1600600,346,123096,281.0814323779814
1600709,4,17769,22.511114862963588
1600808,8,16254,49.21865386981666
1700251,4,2594,154.20200462606013
1700301,14,6892,203.13406848520023
1700350,14,5346,261.8780396558174
1700400,8,6979,114.62960309499928
1700707,31,8396,369.2234397332063
1701002,41,9492,431.94268857985674
1701051,10,3454,289.51939779965255
1701101,15,4848,309.4059405940594
1701309,13,5731,226.83650322805792
1701903,4,7155,55.90496156533892
1702000,31,8467,366.12731782213297
1702109,1010,183381,550.7658917772288
1702158,16,5793,276.1954082513378
1702208,92,36170,254.35443737904342
1702307,38,6616,574.3651753325272
1702406,43,10534,408.20201253085247
1702554,196,18643,1051.3329399774714
1702703,10,3783,264.34047052603756
1702901,37,9787,378.052518647185
1703008,10,10666,93.75585974123382
1703057,4,3592,111.35857461024499
1703073,19,4632,410.18998272884284
1703107,18,5651,318.52769421341355
1703206,4,4448,89.92805755395683
1703305,7,5008,139.77635782747603
1703602,6,2211,271.37042062415196
1703701,20,5519,362.38448994383043
1703800,28,11497,243.5417935113508
1703826,15,2284,656.7425569176883
1703842,17,10312,164.8564778898371
1703867,4,4441,90.06980409817609
1703883,2,2603,76.83442182097579
1703891,10,4130,242.13075060532688
1703909,14,5442,257.25836089672913
1704105,3,2936,102.17983651226157
1704600,3,1410,212.7659574468085
1705102,2,3331,60.04202942059442
1705508,132,35851,368.19056651139437
1705557,14,4861,288.0065830076116
1705607,6,4087,146.80694886224614
1706001,19,5639,336.9391736123426
1706100,10,7278,137.40038472107722
1706258,3,1735,172.9106628242075
1706506,17,6174,275.348234531908
1707009,63,22424,280.9489832322512
1707108,14,6943,201.64194152383695
1707207,13,7185,180.93249826026445
1707306,8,4686,170.72129748186086
1707405,35,11139,314.2113295627974
1707553,8,3830,208.87728459530027
1707652,18,5243,343.3148960518787
1707702,26,8874,292.9907595221997
1708205,30,18399,163.05233980107616
1708254,9,2602,345.8877786318217
1708304,9,5130,175.43859649122808
1709005,30,13095,229.0950744558992
1709302,109,26165,416.5870437607491
1709500,445,87545,508.3100119938317
1710508,38,7452,509.9302200751476
1710706,13,5832,222.90809327846364
1710904,3,3795,79.05138339920948
1711100,8,2420,330.57851239669424
1711506,2,3878,51.57297576070139
1711803,2,2184,91.57509157509158
1711902,18,13676,131.61743199766013
1711951,5,4393,113.81743683132255
1712157,3,1954,153.53121801432957
1712405,18,3733,482.18590945620144
1712454,7,3154,221.9403931515536
1712504,10,5254,190.3311762466692
1712702,2,2729,73.28691828508612
1712801,6,3448,174.0139211136891
1713205,114,17936,635.5932203389831
1713304,47,13493,348.3287630623286
1713601,8,8066,99.18175055789735
1713700,5,2295,217.8649237472767
1713809,9,6745,133.4321719792439
1713957,7,3587,195.14914970727628
1714203,22,9250,237.83783783783784
1714302,9,3834,234.7417840375587
1714880,30,11917,251.74121003608292
1715002,7,4304,162.63940520446096
1715101,8,4397,181.94223334091427
1715150,1,2332,42.88164665523156
1715259,9,2745,327.8688524590164
1715507,2,1118,178.89087656529517
1715705,9,6131,146.79497634969826
1715754,18,7676,234.4971339239187
1716109,190,51891,366.1521265730088
1716208,36,10437,344.92670307559644
1716307,11,4867,226.01191699198685
1716505,76,13773,551.804254701227
1716604,13,11873,109.4921249894719
1716653,7,5512,126.99564586357039
1716703,19,8141,233.38656184743888
1717008,2,4430,45.146726862302486
1717503,26,7743,335.787162598476
1717800,12,4591,261.3809627532128
1717909,12,8116,147.85608674223755
1718006,5,3170,157.72870662460568
1718204,253,53316,474.5292219971491
1718303,16,8498,188.2795951988703
