cod_municipio,sucicidios,pop_2021,sucicidios_100k
1501758,2,7368,27.14440825190011
1501782,4,67332,5.940711697261332
1501808,12,103497,11.59453897214412
1501956,2,34609,5.778843653384958
1502103,10,139364,7.175454206251255
1502152,4,38103,10.49786106080886
1502202,6,69431,8.641673027898202
1502301,3,54425,5.512172714745062
1502400,21,203251,10.332052486826633
1502707,7,47991,14.586068221124794
1502756,3,33781,8.880731772298038
1502764,1,13761,7.266913741733886
1502806,4,34994,11.430530948162541
1503044,3,20525,14.616321559074299
1503093,1,41081,2.434215330688153
1503101,1,33755,2.962524070508073
1503200,3,39023,7.687773876944366
1503309,2,63036,3.172790151659369
1503457,6,65625,9.142857142857142
1503507,2,32595,6.13591041570793
1503606,25,101395,24.656048128605946
1503705,5,53355,9.3711929528629
1503754,2,7590,26.350461133069828
1503903,5,58960,8.480325644504749
1504059,4,30235,13.22970067802216
1504109,2,8573,23.32905633967106
1504208,39,283542,13.754576041644624
1504406,2,28450,7.0298769771529
1504422,6,133685,4.488162471481467
1504455,2,31975,6.254886630179828
1504505,3,27890,10.756543564001435
1504604,2,31530,6.343165239454488
1504703,4,83182,4.80873265850785
1504752,2,16184,12.357884330202669
1505031,1,25766,3.8810835985407124
1505064,3,77214,3.8853057735643795
1505106,4,52306,7.647306236378236
1505205,1,32850,3.0441400304414
1505304,4,74016,5.40423692174665
1505403,2,17961,11.135237458938812
1505486,1,48414,2.065518238526046
1505502,14,114503,12.226753884177707
1505536,10,213576,4.682174027044237
1505650,5,31659,15.793297324615434
1505809,5,62945,7.943442688061006
1505908,2,41801,4.784574531709768
1506005,4,29846,13.402130938819273
1506138,7,85563,8.181106319320268
1506161,5,18201,27.471018075929894
1506187,2,52803,3.7876635797208493
1506195,1,51500,1.941747572815534
1506203,4,40922,9.774693318997116
1506302,6,24075,24.922118380062305
1506500,5,71837,6.960201567437393
1506559,2,19843,10.079121100640025
1506583,1,21850,4.576659038901602
1506609,2,24995,8.001600320064012
1506708,3,74419,4.031228584098147
1506807,29,306480,9.462281388671364
1506906,2,6753,29.61646675551607
1507003,4,31918,12.53211354094868
1507102,3,18129,16.54807214959457
1507151,1,25753,3.8830427523007027
1507201,4,32139,12.445937956999284
1507300,3,132138,2.270353721109749
1507409,2,15930,12.554927809165097
1507474,1,23244,4.302185510239202
1507607,1,59632,1.6769519720955193
1507953,7,108969,6.4238453138048435
1507979,1,18917,5.286250462546915
1508001,2,64030,3.1235358425737934
1508050,2,19168,10.434056761268781
1508084,3,40136,7.474586406218856
1508100,10,115144,8.684777322309456
1508159,2,45435,4.401892813909981
1508209,2,54172,3.6919441778040314
1508407,4,45086,8.871933637936388
1600204,3,11306,26.53458340704051
1600238,1,7967,12.551776076314798
1600279,3,51362,5.840894046182003
1600303,41,512902,7.993729796335362
1600402,4,22053,18.13812179748787
1600501,3,27906,10.75037626316921
1600535,1,22452,4.453946196329948
1600600,10,123096,8.123740820172873
1600808,1,16254,6.152331733727083
1700400,1,6979,14.32870038687491
1701002,2,9492,21.07037505267594
1701101,1,4848,20.627062706270628
1702109,25,183381,13.632819103396754
1702208,6,36170,16.58833287254631
1702307,1,6616,15.114873035066505
1702554,2,18643,10.72788714262726
1703107,2,5651,35.39196602371262
1703701,4,5519,72.47689798876608
1705508,4,35851,11.157289894284679
1706100,2,7278,27.480076944215444
1707009,4,22424,17.83803068141277
1707702,2,8874,22.537750732476898
1708205,5,18399,27.175389966846023
1708254,4,2602,153.72790161414298
1708304,1,5130,19.49317738791423
1709005,1,13095,7.636502481863307
1709302,6,26165,22.93139690426142
1709500,17,87545,19.418584727854245
1710508,1,7452,13.419216317767042
1711902,2,13676,14.624159110851126
1713205,3,17936,16.726137377341658
1713304,4,13493,29.64500111168754
1713957,2,3587,55.75689991636465
1714203,1,9250,10.81081081081081
1715002,2,4304,46.468401486988846
1716109,3,51891,5.781349366942244
