cod_municipio,ano,n_mulheres,pop_2021,n_mulheres_por_1k_hab
3535507,2021,5514,45945,120.01305909239308
3535606,2021,1386,18263,75.89114603296282
3535705,2021,560,6496,86.20689655172414
3535804,2021,3247,20395,159.2056876685462
3535903,2021,359,4095,87.66788766788767
3536000,2021,1120,10949,102.29244679879442
3536109,2021,1342,6508,206.20774431468962
3536208,2021,2714,19723,137.60584089641534
3536257,2021,165,2169,76.07192254495159
3536307,2021,1719,14807,116.09373944755859
3536406,2021,738,7454,99.00724443251946
3536505,2021,22362,112003,199.65536637411498
3536570,2021,150,1834,81.78844056706652
3536604,2021,520,8959,58.04219220895189
3536703,2021,7209,47111,153.0215873150644
3536802,2021,570,6110,93.28968903436989
3536901,2021,199,2481,80.20959290608626
3537008,2021,1907,16811,113.43763012313366
3537107,2021,9079,48463,187.33879454429152
3537156,2021,330,3101,106.41728474685586
3537206,2021,574,11421,50.25829612118028
3537305,2021,9440,63757,148.0621735652556
3537404,2021,2676,25677,104.21778245122094
3537503,2021,1543,8773,175.880542573806
3537602,2021,6352,69001,92.05663686033536
3537701,2021,713,6038,118.0854587611792
3537800,2021,5015,55542,90.29203125562637
3537909,2021,3003,29402,102.13590912182845
3538006,2021,16893,170132,99.29348976089155
3538105,2021,1231,17216,71.50325278810409
3538204,2021,1582,15388,102.80738237587731
3538303,2021,286,3699,77.31819410651528
3538501,2021,578,13575,42.57826887661142
3538600,2021,3226,27462,117.47141504624572
3538709,2021,71442,407252,175.4245528567079
3538808,2021,3656,29869,122.40115169573805
3538907,2021,2082,25719,80.95182549865858
3539004,2021,1509,11471,131.5491238776044
3539103,2021,1520,19178,79.257482532068
3539202,2021,3013,27754,108.56092815450025
3539301,2021,11800,76877,153.49194167306217
3539400,2021,1063,13765,77.22484562295678
3539509,2021,3513,40080,87.6497005988024
3539608,2021,490,5304,92.38310708898945
3539707,2021,212,3578,59.250978200111796
3539806,2021,18928,118349,159.93375524930502
3539905,2021,663,6113,108.45738589890398
3540002,2021,3647,22172,164.4867400324734
3540101,2021,287,3400,84.41176470588235
3540200,2021,4180,50852,82.19932352709824
3540259,2021,256,4674,54.77107402652974
3540309,2021,323,2577,125.3395421032208
3540408,2021,217,4152,52.26396917148362
3540507,2021,711,10067,70.62680043707162
3540606,2021,10564,53402,197.8203063555672
3540705,2021,10557,56504,186.8363301713153
3540754,2021,864,25130,34.38121766812574
3540804,2021,1517,17516,86.60653117150034
3540853,2021,178,4212,42.26020892687559
3540903,2021,2121,21873,96.96886572486628
3541000,2021,34834,330845,105.28797473136967
3541059,2021,474,5317,89.14801579838254
3541109,2021,235,4080,57.59803921568628
3541208,2021,1517,13023,116.48621669354219
3541307,2021,3425,44389,77.15875554754557
3541406,2021,41767,230371,181.30320222597462
3541505,2021,4296,39583,108.53144026476012
3541604,2021,4792,40828,117.37043205643187
3541653,2021,283,3854,73.43020238713025
3541703,2021,1605,14210,112.94862772695285
3541802,2021,510,3460,147.39884393063585
3541901,2021,942,13606,69.23416139938263
3542008,2021,768,6688,114.83253588516746
3542107,2021,1090,9101,119.76705856499285
3542206,2021,3624,29726,121.91347641795062
3542305,2021,224,3839,58.34852826256838
3542404,2021,2409,20394,118.12297734627832
3542503,2021,886,9837,90.06811019619803
3542602,2021,7994,56393,141.75518238079195
3542701,2021,916,7679,119.28636541216304
3542800,2021,227,3330,68.16816816816817
3542909,2021,982,13299,73.84013835626739
3543006,2021,1718,16211,105.97742273764727
3543105,2021,440,4752,92.5925925925926
3543204,2021,319,4539,70.2797973121833
3543238,2021,172,2224,77.33812949640287
3543253,2021,326,7679,42.45344445891392
3543303,2021,11421,124159,91.9868877809905
3543402,2021,164588,711825,231.21975204579778
3543501,2021,327,5443,60.077163329046485
3543600,2021,738,3640,202.74725274725276
3543709,2021,792,10812,73.2519422863485
3543808,2021,835,9961,83.82692500752937
3543907,2021,43019,208008,206.81416099380792
3544004,2021,3555,35738,99.47394929766635
3544103,2021,1930,51436,37.522357881639316
3544202,2021,619,12689,48.78240996138388
3544251,2021,1541,16281,94.65020576131687
3544301,2021,1395,10801,129.1547078974169
3544400,2021,191,3162,60.40480708412397
3544509,2021,305,3170,96.21451104100946
3544608,2021,303,5614,53.97221232632704
3544707,2021,235,2430,96.70781893004116
3544806,2021,560,6407,87.40440143592946
3544905,2021,1399,11998,116.60276712785465
3545001,2021,1267,17252,73.44076049153722
3545100,2021,323,5337,60.520891886827805
3545159,2021,917,8393,109.25771476230192
3545209,2021,21923,119736,183.09447451058998
3545308,2021,3290,45860,71.74007849978194
3545407,2021,719,9364,76.78342588637335
3545506,2021,745,4354,171.1070280202113
3545605,2021,1753,15561,112.65342844290213
3545704,2021,583,6022,96.81169046828296
3545803,2021,34691,194390,178.4608261741859
3546009,2021,1282,14857,86.28929124318503
3546108,2021,559,2113,264.5527685754851
3546207,2021,488,4544,107.3943661971831
3546256,2021,221,2153,102.64746864839759
3546306,2021,2974,34737,85.6147623571408
3546405,2021,8175,47943,170.514986546524
3546504,2021,289,5588,51.71796707229778
3546603,2021,5938,32563,182.3542056935786
3546702,2021,2982,27381,108.90763668237099
3546801,2021,6290,57966,108.51188627816306
3546900,2021,345,8854,38.96543934944658
3547007,2021,448,6236,71.84092366901861
3547106,2021,203,2943,68.9772341148488
3547205,2021,111,1467,75.66462167689161
3547304,2021,34503,142301,242.46491591766747
3547403,2021,170,2487,68.35544833132288
3547502,2021,6562,27600,237.7536231884058
3547601,2021,2411,26753,90.1207341232759
3547650,2021,107,1552,68.94329896907216
3547700,2021,1763,20866,84.49151730087223
3547809,2021,151609,721368,210.1687349591332
3547908,2021,685,6977,98.17973340977497
3548005,2021,4323,23529,183.73071528751754
3548054,2021,719,8481,84.77773847423653
3548104,2021,607,5940,102.1885521885522
3548203,2021,810,6827,118.64655046140325
3548302,2021,188,3135,59.96810207336523
3548401,2021,363,4817,75.35810670541831
3548500,2021,102001,433656,235.21178076632168
3548609,2021,2060,10893,189.112273937391
3548708,2021,163672,844483,193.81325615790962
3548807,2021,71721,161957,442.8397661107578
3548906,2021,47110,254484,185.11969318306848
3549003,2021,113,2817,40.113596024139156
3549102,2021,15090,91771,164.43102941016224
3549201,2021,131,2561,51.1518937914877
3549250,2021,155,1932,80.22774327122153
3549300,2021,123,2100,58.57142857142857
3549409,2021,5807,52319,110.99218257229687
3549508,2021,527,8960,58.816964285714285
3549607,2021,242,4144,58.397683397683394
3549706,2021,8927,55124,161.9439808431899
3549805,2021,94816,464983,203.9128312217866
3549904,2021,119434,729737,163.66718420472034
3549953,2021,8804,15978,551.0076354988108
3550001,2021,916,10690,85.68755846585594
3550100,2021,4062,41123,98.77684021107409
3550209,2021,2556,33002,77.44985152415005
3550308,2021,3465111,12325232,281.1396166822661
3550407,2021,4709,35980,130.87826570316844
3550506,2021,921,7696,119.67255717255718
3550605,2021,16019,92060,174.00608298935478
3550704,2021,12167,90328,134.69798954919847
3550803,2021,1491,12159,122.6252158894646
3550902,2021,1577,15385,102.50243743906402
3551009,2021,23148,368355,62.84155230687787
3551108,2021,1156,10390,111.26082771896054
3551207,2021,440,3630,121.21212121212122
3551306,2021,501,3554,140.9679234665166
