cod_municipio,ano,n_ensino_superior,pop_2021,n_ensino_superior_por_1k_hab
3306008,2021,4340,82142,52.83533393391931
3306107,2021,3078,76869,40.042149631190725
3306156,2021,329,11106,29.623626868359445
3306206,2021,2513,37083,67.76690127551709
3306305,2021,17397,273988,63.49548155393667
3500105,2021,2446,35111,69.66477742018171
3500204,2021,144,3554,40.51772650534609
3500303,2021,1112,36648,30.342719930146256
3500402,2021,309,8221,37.586668288529374
3500501,2021,862,18808,45.83156103785623
3500550,2021,259,6109,42.396464233098705
3500600,2021,341,3521,96.84748650951434
3500709,2021,1989,37401,53.18039624608968
3500758,2021,161,6129,26.268559308206886
3500808,2021,163,4184,38.95793499043977
3500907,2021,132,4186,31.53368370759675
3501004,2021,713,16203,44.00419675368759
3501103,2021,97,4088,23.7279843444227
3501152,2021,1277,18767,68.04497255821389
3501202,2021,139,3647,38.1135179599671
3501301,2021,826,24998,33.042643411472916
3501400,2021,94,5274,17.82328403488813
3501509,2021,89,3237,27.494593759654002
3501608,2021,17414,242018,71.95332578568537
3501707,2021,1519,41032,37.019886917527785
3501806,2021,197,5981,32.93763584684835
3501905,2021,5782,72677,79.55749411780893
3502002,2021,181,5056,35.799050632911396
3502101,2021,3211,57202,56.1344008950736
3502200,2021,689,25479,27.041877624710548
3502309,2021,231,6819,33.875934887813465
3502408,2021,149,4144,35.955598455598455
3502507,2021,2154,36185,59.527428492469255
3502606,2021,199,4158,47.85954785954786
3502705,2021,670,24226,27.656237100635682
3502754,2021,2436,22860,106.56167979002625
3502804,2021,13812,198129,69.71215723089502
3502903,2021,1633,34776,46.957671957671955
3503000,2021,172,5655,30.41556145004421
3503109,2021,212,6365,33.30714846818539
3503158,2021,98,2460,39.83739837398374
3503208,2021,18319,238339,76.86110959599561
3503307,2021,8667,135506,63.960267442032084
3503356,2021,75,1773,42.30118443316413
3503406,2021,227,8613,26.355509114129802
3503505,2021,128,3896,32.85420944558521
3503604,2021,261,11158,23.39128876142678
3503703,2021,579,9761,59.31769285933818
3503802,2021,1815,55340,32.79725334297073
3503901,2021,5681,91157,62.32105049529932
3503950,2021,78,1818,42.9042904290429
3504008,2021,6365,105087,60.56886199054117
3504107,2021,9937,144088,68.9647992893232
3504206,2021,533,15253,34.943945453353436
3504305,2021,161,5436,29.617365710080943
3504404,2021,305,13859,22.007359838372178
3504503,2021,3722,91232,40.7970887407927
3504602,2021,904,17761,50.898035020550644
3504701,2021,60,5934,10.111223458038422
3504800,2021,371,9139,40.59525112156691
3504909,2021,352,10993,32.020376603293
3505005,2021,77,3498,22.0125786163522
3505104,2021,184,7468,24.638457418318158
3505203,2021,1429,35558,40.187862084481694
3505302,2021,1950,36126,53.9777445607042
3505351,2021,98,5760,17.01388888888889
3505401,2021,156,7632,20.440251572327043
3505500,2021,8968,122833,73.00969609144123
3505609,2021,856,33180,25.798673899939722
3505708,2021,133758,276982,482.91224700522054
3505807,2021,1012,20953,48.298572996706916
3505906,2021,3784,62980,60.082565893934586
3506003,2021,32372,379297,85.34736631188751
3506102,2021,6721,77555,86.66107923409193
3506201,2021,138,3005,45.9234608985025
3506300,2021,496,11158,44.452410826312956
3506359,2021,2495,64723,38.5488929746767
3506409,2021,264,8117,32.524331649624244
3506508,2021,7024,124883,56.2446449877085
3506607,2021,568,32936,17.2455671605538
3506706,2021,406,15018,27.034225595951526
3506805,2021,462,12452,37.102473498233216
3506904,2021,339,11921,28.437211643318513
3507001,2021,4709,62170,75.74392793952067
3507100,2021,1056,25985,40.63883009428516
3507159,2021,160,3984,40.16064257028113
3507209,2021,121,838,144.39140811455846
3507308,2021,228,4868,46.836483155299916
3507407,2021,401,16164,24.808215788171246
3507456,2021,115,2683,42.862467387253076
3507506,2021,11652,148130,78.66063592790117
3507605,2021,9835,170533,57.67212211126292
3507704,2021,131,5741,22.818324333739767
3507753,2021,82,2889,28.383523710626516
3507803,2021,1299,25277,51.39059223800293
3507902,2021,1013,24636,41.11868809871732
3508009,2021,651,19965,32.60706235912848
3508108,2021,657,17281,38.018633180950175
3508207,2021,267,4514,59.1493132476739
3508306,2021,137,4243,32.288475135517324
3508405,2021,2984,50429,59.17230165182732
3508504,2021,4649,95018,48.92757161800922
3508603,2021,1569,33581,46.72284923021947
3508702,2021,420,19009,22.094797201325687
3508801,2021,531,17843,29.759569579106653
3508900,2021,125,4193,29.81159074648223
3509007,2021,4695,102775,45.6823157382632
3509106,2021,145,5946,24.386141944164144
3509205,2021,14038,77934,180.12677393692098
3509254,2021,1068,28494,37.48157506843546
3509304,2021,336,10596,31.710079275198186
3509403,2021,930,26393,35.23661576933278
3509452,2021,160,6057,26.415717351824334
3509502,2021,151441,1213792,124.76684637895126
3509601,2021,3221,85541,37.65445809611765
3509700,2021,2245,52405,42.83942371911077
3509809,2021,189,4997,37.8226936161697
3509908,2021,429,12541,34.20779842117854
3509957,2021,212,5204,40.73789392774788
3510005,2021,1626,31346,51.872647227716456
3510104,2021,164,2799,58.592354412290106
3510153,2021,145,5292,27.399848828420257
3510203,2021,1192,47118,25.298187529182055
3510302,2021,654,20985,31.165117941386704
